unnamed_0,year,prize,motivation,laureate_id,birth_city,birth_country,organization_name,organization_city,organization_country,death_city,death_country,usa_born_winner,decade,female,age,category_Chemistry,category_Economics,category_Literature,category_Medicine,category_Peace,category_Physics,prize_encoded,motivation_encoded,prize_share_1/1,prize_share_1/2,prize_share_1/3,prize_share_1/4,laureate_type_Individual,laureate_type_Organization,birth_city_encoded,birth_country_encoded,sex_Male,organization_name_encoded,organization_city_encoded,organization_country_encoded,death_city_encoded,death_country_encoded,age_group_Adult,age_group_Senior,age_group_Youth
-0.71107287848671,-0.5241316924267687,The Nobel Prize in Physiology or Medicine 1952,"""for his discovery of streptomycin, the first antibiotic effective against tuberculosis""",353,Priluka (Nova Pryluka),Russian Empire (Ukraine),Rutgers University,"New Brunswick, NJ",United States of America,"Hyannis, MA",United States of America,False,-0.4456646941402606,False,0.37143356160684743,0,0,0,1,0,0,466,133,1,0,0,0,1,0,421,97,1,182,115,28,114,46,1,0,0
-0.7072703497247489,-0.5241316924267687,The Nobel Peace Prize 1952,"""for development of methods to cool and trap atoms with laser light""",513,Kaysersberg,Germany (France),University of California,"Cambridge, MA",United States of America,Lambaréné,Gabon,False,-0.4456646941402606,False,1.439643292085209,0,0,0,0,1,0,37,21,1,0,0,0,1,0,249,44,1,223,35,28,130,13,0,1,0
-0.7034678209627879,-0.5241316924267687,The Nobel Prize in Physics 1952,"""for their development of new methods for nuclear magnetic precision measurements and discoveries in connection therewith""",58,Zurich,Switzerland,Stanford University,"Stanford, CA",United States of America,Zurich,Switzerland,False,-0.4456646941402606,False,-1.0254560859417792,0,0,0,0,0,1,359,380,0,1,0,0,1,0,597,105,1,193,152,28,284,41,1,0,0
-0.6996652922008268,-0.5241316924267687,The Nobel Prize in Physics 1952,"""for their development of new methods for nuclear magnetic precision measurements and discoveries in connection therewith""",59,"Taylorville, IL",United States of America,Harvard University,"Cambridge, MA",United States of America,"Cambridge, MA",United States of America,True,-0.4456646941402606,False,-1.600645940814743,0,0,0,0,0,1,359,380,0,1,0,0,1,0,511,115,1,68,35,28,54,46,1,0,0
-0.6958627634388659,-0.4936624197702194,The Nobel Prize in Chemistry 1953,"""for his discoveries in the field of macromolecular chemistry""",216,Worms,Germany,University of Freiburg,Breisgau,Federal Republic of Germany,Freiburg im Breisgau,West Germany (Germany),False,-0.4456646941402606,False,1.0287933957473776,1,0,0,0,0,0,141,119,1,0,0,0,1,0,585,43,1,233,24,9,93,48,0,1,0
-0.6920602346769048,-0.4936624197702194,The Nobel Prize in Literature 1953,"""for his mastery of historical and biographical description as well as for brilliant oratory in defending exalted human values""",624,Woodstock,United Kingdom,University of California,"Cambridge, MA",United States of America,London,United Kingdom,False,-0.4456646941402606,False,1.6039832506203415,0,0,1,0,0,0,250,197,1,0,0,0,1,0,583,114,1,223,35,28,143,45,0,1,0
-0.6882577059149438,-0.4936624197702194,The Nobel Prize in Physiology or Medicine 1953,"""for his discovery of the citric acid cycle""",354,Hildesheim,Germany,Sheffield University,Sheffield,United Kingdom,Oxford,United Kingdom,False,-0.4456646941402606,False,-0.5324362103363816,0,0,0,1,0,0,467,141,0,1,0,0,1,0,214,43,1,186,149,27,192,45,1,0,0
-0.6844551771529828,-0.4936624197702194,The Nobel Prize in Physiology or Medicine 1953,"""for his discovery of co-enzyme A and its importance for intermediary metabolism""",355,Koenigsberg (Kaliningrad),Germany (Russia),Harvard Medical School,"Boston, MA",United States of America,"Poughkeepsie, NY",United States of America,False,-0.4456646941402606,False,-0.4502662310688153,0,0,0,1,0,0,467,128,0,1,0,0,1,0,262,46,1,67,22,28,206,46,1,0,0
-0.6806526483910218,-0.4936624197702194,The Nobel Peace Prize 1953,"""for development of methods to cool and trap atoms with laser light""",514,"Uniontown, PA",United States of America,University of California,"Cambridge, MA",United States of America,"Washington, DC",United States of America,True,-0.4456646941402606,False,1.110963375014944,0,0,0,0,1,0,38,21,1,0,0,0,1,0,535,115,1,223,35,28,272,46,0,1,0
-0.6768501196290608,-0.4936624197702194,The Nobel Prize in Physics 1953,"""for his demonstration of the phase contrast method, especially for his invention of the phase contrast microscope""",60,Amsterdam,Netherlands,Groningen University,Groningen,Netherlands,Groningen,Netherlands,False,-0.4456646941402606,False,0.4536035408744137,0,0,0,0,0,1,360,95,1,0,0,0,1,0,16,70,1,63,62,19,101,27,0,1,0
